"Index","Category","Question","Truth","Decision","DecisionCorrect","YesProbability","NoProbability","Confidence","Margin","TemplateMs","DecisionMs","DecisionTotalMs","Chat","ChatCorrect","ChatMs","ChatTokens","Agree"
"1","facts","Is Paris the capital of France?","yes","yes","True","0,999901","9,9E-05","0,999901","0,999803","1,03","24,27","25,31","yes","True","253,49","47","True"
"2","facts","Is Berlin the capital of Italy?","no","no","True","9E-06","0,999991","0,999991","0,999982","0,91","28,96","29,87","no","True","251,03","47","True"
"3","facts","Is Canberra the capital of Australia?","yes","yes","True","0,999877","0,000123","0,999877","0,999754","0,87","28,82","29,69","yes","True","348,04","69","True"
"4","facts","Is Ottawa the capital of Canada?","yes","yes","True","0,999984","1,6E-05","0,999984","0,999967","0,99","28,94","29,93","yes","True","345,22","69","True"
"5","facts","Is Madrid the capital of Portugal?","no","no","True","4E-06","0,999996","0,999996","0,999992","0,92","29,02","29,94","no","True","251,97","47","True"
"6","facts","Is Tokyo the capital of Japan?","yes","yes","True","0,999811","0,000189","0,999811","0,999621","0,91","28,93","29,84","yes","True","345,64","69","True"
"7","facts","Is Brazil in South America?","yes","yes","True","0,999878","0,000122","0,999878","0,999756","0,92","28,98","29,89","yes","True","267,22","48","True"
"8","facts","Is Africa the largest continent by land area?","no","no","True","0,178506","0,821494","0,821494","0,642987","0,93","29,14","30,07","no","True","319,6","61","True"
"9","facts","Is the Pacific Ocean the largest ocean on Earth?","yes","yes","True","0,999882","0,000118","0,999882","0,999764","0,94","28,92","29,86","yes","True","341,58","66","True"
"10","facts","Is Rome the capital of Italy?","yes","yes","True","0,995404","0,004596","0,995404","0,990808","0,95","28,84","29,79","yes","True","261,05","47","True"
"11","facts","Is Cairo the capital of Egypt?","yes","yes","True","0,999979","2,1E-05","0,999979","0,999959","0,92","28,82","29,74","yes","True","332,15","63","True"
"12","facts","Is Sydney the capital of Australia?","no","no","True","0,048205","0,951795","0,951795","0,90359","0,98","28,79","29,77","no","True","268,01","47","True"
"13","facts","Are the Andes located in South America?","yes","yes","True","0,999983","1,7E-05","0,999983","0,999965","1,14","28,91","30,05","yes","True","211,65","36","True"
"14","facts","Is the Sahara Desert in South America?","no","no","True","4E-06","0,999996","0,999996","0,999992","0,99","29,34","30,33","no","True","264,58","48","True"
"15","facts","Is Antarctica a continent?","yes","yes","True","0,999894","0,000106","0,999894","0,999787","1","28,6","29,6","yes","True","231,39","41","True"
"16","facts","Does the Danube flow through Europe?","yes","yes","True","0,999618","0,000382","0,999618","0,999237","1,1","29,77","30,87","yes","True","278,47","50","True"
"17","facts","Is the Amazon River in Africa?","no","no","True","2,8E-05","0,999972","0,999972","0,999944","0,93","28,4","29,33","no","True","265,51","48","True"
"18","facts","Is New Zealand east of Australia?","yes","no","False","0,429113","0,570887","0,570887","0,141774","1,11","29,55","30,65","yes","True","322,12","62","False"
"19","facts","Is Iceland an island country?","yes","yes","True","0,999597","0,000403","0,999597","0,999195","0,98","29,03","30,01","yes","True","261,03","48","True"
"20","facts","Does Switzerland have a coastline on an ocean or sea?","no","no","True","0,001415","0,998585","0,998585","0,997171","1,02","29,59","30,61","no","True","253,01","46","True"
"21","logic","Is 7 times 8 equal to 56?","yes","yes","True","0,998826","0,001174","0,998826","0,997652","0,86","29,32","30,18","yes","True","270,25","51","True"
"22","logic","Is the square root of 81 equal to 9?","yes","yes","True","0,999911","8,9E-05","0,999911","0,999823","0,89","29,83","30,73","yes","True","275,78","52","True"
"23","logic","Is 17 a prime number?","yes","yes","True","0,891394","0,108606","0,891394","0,782787","0,95","28,96","29,91","yes","True","217,21","39","True"
"24","logic","Is 21 a prime number?","no","no","True","0,05081","0,94919","0,94919","0,89838","0,95","29,4","30,35","no","True","221,9","40","True"
"25","logic","Is 2 to the power of 10 equal to 1024?","yes","yes","True","0,999306","0,000694","0,999306","0,998612","1,01","30,17","31,18","yes","True","237,08","42","True"
"26","logic","In Euclidean geometry, do the interior angles of a triangle sum to 180 degrees?","yes","yes","True","0,999828","0,000172","0,999828","0,999657","0,84","29,89","30,73","yes","True","278,65","53","True"
"27","logic","Is one third greater than one half?","no","no","True","0,08291","0,91709","0,91709","0,834179","0,94","29,45","30,39","no","True","293,16","57","True"
"28","logic","Is 144 divisible by 12?","yes","yes","True","0,999305","0,000695","0,999305","0,99861","0,95","29,76","30,71","yes","True","286,37","55","True"
"29","logic","Is 15 divisible by 4?","no","no","True","0,004155","0,995845","0,995845","0,991691","0,91","29,06","29,96","no","True","307,55","60","True"
"30","logic","If all cats are mammals and Felix is a cat, must Felix be a mammal?","yes","yes","True","0,999747","0,000253","0,999747","0,999494","0,89","29,88","30,77","yes","True","354,95","71","True"
"31","logic","If all A are B and all B are C, must all A be C?","yes","yes","True","0,999114","0,000886","0,999114","0,998229","0,88","29,36","30,24","yes","True","368,87","75","True"
"32","logic","If A implies B, does B always imply A?","no","no","True","0,000169","0,999831","0,999831","0,999663","0,99","29,63","30,61","no","True","262,24","49","True"
"33","logic","Is the sum of two odd integers always even?","yes","yes","True","0,990739","0,009261","0,990739","0,981478","0,88","29,31","30,19","yes","True","242,08","44","True"
"34","logic","Is an even integer multiplied by any integer always even?","yes","yes","True","0,929103","0,070897","0,929103","0,858207","0,96","29,47","30,43","yes","True","472,1","95","True"
"35","logic","Is every prime number odd?","no","no","True","0,039072","0,960928","0,960928","0,921856","0,89","29,8","30,69","no","True","263,78","48","True"
"36","logic","Is zero an even integer?","yes","yes","True","0,999905","9,5E-05","0,999905","0,999811","0,98","29,76","30,75","yes","True","271,38","51","True"
"37","logic","Is 1 a prime number?","no","no","True","0,000417","0,999583","0,999583","0,999166","0,9","29,36","30,25","no","True","258,87","47","True"
"38","logic","Is minus 5 greater than minus 3?","no","no","True","0,002973","0,997027","0,997027","0,994053","0,96","29,54","30,5","no","True","391,48","76","True"
"39","logic","Does 2 plus 2 times 3 equal 8 using standard arithmetic precedence?","yes","no","False","0,052527","0,947473","0,947473","0,894946","0,98","30,5","31,48","yes","True","381,95","77","False"
"40","logic","Is 9 to the power of zero equal to 1?","yes","yes","True","0,999485","0,000515","0,999485","0,99897","1,02","30,16","31,18","yes","True","288,44","52","True"
"41","negation","Is it false that 2 plus 2 equals 5?","yes","yes","True","0,787961","0,212039","0,787961","0,575921","0,9","29,37","30,27","yes","True","568,87","114","True"
"42","negation","Is it not the case that 7 is even?","yes","no","False","0,325878","0,674122","0,674122","0,348243","1,28","29,76","31,04","yes","True","636,44","131","False"
"43","negation","Is the statement 'Paris is not in France' true?","no","no","True","0,005672","0,994328","0,994328","0,988656","0,93","29,36","30,29","no","True","466,92","93","True"
"44","negation","Is it false that every square has four sides?","no","no","True","0,15349","0,84651","0,84651","0,69302","0,94","29,81","30,75","no","True","598,61","126","True"
